LISTA DE IMPACTOS DETECTADOS (segundos):
- Inicio: 235.67s, Fin: 235.67s (Duración: 0.00s)
- Inicio: 235.93s, Fin: 235.93s (Duración: 0.00s)
- Inicio: 236.07s, Fin: 236.53s (Duración: 0.47s)
- Inicio: 236.80s, Fin: 237.00s (Duración: 0.20s)
- Inicio: 237.20s, Fin: 237.20s (Duración: 0.00s)
- Inicio: 241.40s, Fin: 241.40s (Duración: 0.00s)
- Inicio: 242.33s, Fin: 243.13s (Duración: 0.80s)
- Inicio: 243.27s, Fin: 243.40s (Duración: 0.13s)
- Inicio: 243.67s, Fin: 244.13s (Duración: 0.47s)
- Inicio: 244.33s, Fin: 244.33s (Duración: 0.00s)
- Inicio: 245.00s, Fin: 245.00s (Duración: 0.00s)
- Inicio: 246.13s, Fin: 246.13s (Duración: 0.00s)
- Inicio: 246.87s, Fin: 246.87s (Duración: 0.00s)
- Inicio: 247.20s, Fin: 247.20s (Duración: 0.00s)
- Inicio: 248.80s, Fin: 248.80s (Duración: 0.00s)
- Inicio: 250.20s, Fin: 250.20s (Duración: 0.00s)
- Inicio: 252.47s, Fin: 252.47s (Duración: 0.00s)
- Inicio: 253.60s, Fin: 253.60s (Duración: 0.00s)
- Inicio: 255.27s, Fin: 255.27s (Duración: 0.00s)
- Inicio: 255.47s, Fin: 255.47s (Duración: 0.00s)
- Inicio: 255.67s, Fin: 255.67s (Duración: 0.00s)
- Inicio: 255.87s, Fin: 255.87s (Duración: 0.00s)
- Inicio: 256.20s, Fin: 256.20s (Duración: 0.00s)
- Inicio: 256.40s, Fin: 257.40s (Duración: 1.00s)
- Inicio: 257.60s, Fin: 257.93s (Duración: 0.33s)
- Inicio: 258.07s, Fin: 258.47s (Duración: 0.40s)
- Inicio: 258.73s, Fin: 259.13s (Duración: 0.40s)
- Inicio: 259.40s, Fin: 260.07s (Duración: 0.67s)
- Inicio: 260.27s, Fin: 260.27s (Duración: 0.00s)
- Inicio: 262.20s, Fin: 262.20s (Duración: 0.00s)
- Inicio: 264.00s, Fin: 264.07s (Duración: 0.07s)
- Inicio: 271.60s, Fin: 271.60s (Duración: 0.00s)
- Inicio: 271.80s, Fin: 271.93s (Duración: 0.13s)
- Inicio: 272.13s, Fin: 272.13s (Duración: 0.00s)
- Inicio: 272.87s, Fin: 272.87s (Duración: 0.00s)
- Inicio: 276.67s, Fin: 276.67s (Duración: 0.00s)
- Inicio: 278.13s, Fin: 278.13s (Duración: 0.00s)
- Inicio: 278.53s, Fin: 278.60s (Duración: 0.07s)
- Inicio: 278.93s, Fin: 278.93s (Duración: 0.00s)
